,Classes,Difficulty
628,RLST007,3.00
629,RLST012,1.25
630,RLST012H,7.00
631,RLST015,4.40
632,RLST044,5.00
633,RLST113,1.00
634,SOC001,5.70
635,SOC002,4.50
636,SOC002F,2.00
637,SOC002M,1.00
638,SOC002R,5.00
639,SOC003,8.00
640,SOC004,5.75
641,SOC005,9.00
642,SOC010,7.67
643,SOC020,4.00
644,SOC030,1.00
645,SOC122,10.00
646,SOC137,4.00
647,SOC140,7.00
648,SOC167,8.00
649,SOC150,10.00
650,SOC151,6.50
651,SPN001,5.50
652,SPN002,6.60
653,SPN003,6.00
654,SPN004,5.33
655,SPN109A,6.00
656,SPN109B,4.00
657,STAT004,8.00
658,STAT040,5.50
659,STAT048,5.50
660,STAT100A,4.25
661,STAT100B,5.29
662,STAT127,4.00
663,STAT130,4.50
664,STAT146,4.50
665,STAT147,5.25
666,STAT155,6.00
667,STAT157,6.00
668,STAT160A,8.00
669,STAT160B,8.00
670,STAT160C,9.00
671,STAT170A,7.00
672,STAT170B,4.00
673,STAT171,8.00
674,STAT183,2.00
675,TFDP010,1.67
676,TFDP021,6.00
677,TFDP022,6.00
678,TFDP050S,3.00
679,TFDP052,4.00
680,TFDP066,2.00
681,VNM002,7.00
